[2026-07-03 09:50:02,382][__main__][INFO] - run_name=speaker_only_seed2024
[2026-07-03 09:50:02,382][__main__][INFO] - experiment.relational=False experiment.shift=False experiment.temporal=False experiment.lora=False
[epoch 000] loss=0.9144 val_weighted_f1=0.2518 val_macro_f1=0.0850 time=10.8s per_class_f1={'neutral': 0.595, 'joy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.0, 'fear': 0.0, 'disgust': 0.0}
[epoch 001] loss=0.8365 val_weighted_f1=0.2540 val_macro_f1=0.0869 time=10.4s per_class_f1={'neutral': 0.596, 'joy': 0.012, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.0, 'fear': 0.0, 'disgust': 0.0}
[epoch 002] loss=0.8046 val_weighted_f1=0.3132 val_macro_f1=0.1397 time=10.3s per_class_f1={'neutral': 0.625, 'joy': 0.075, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.278, 'fear': 0.0, 'disgust': 0.0}
[epoch 003] loss=0.7726 val_weighted_f1=0.3548 val_macro_f1=0.1743 time=9.8s per_class_f1={'neutral': 0.648, 'joy': 0.248, 'sadness': 0.0, 'anger': 0.013, 'surprise': 0.311, 'fear': 0.0, 'disgust': 0.0}
[epoch 004] loss=0.7456 val_weighted_f1=0.3760 val_macro_f1=0.1943 time=10.3s per_class_f1={'neutral': 0.654, 'joy': 0.266, 'sadness': 0.0, 'anger': 0.117, 'surprise': 0.323, 'fear': 0.0, 'disgust': 0.0}
[epoch 005] loss=0.7288 val_weighted_f1=0.4404 val_macro_f1=0.2468 time=10.2s per_class_f1={'neutral': 0.699, 'joy': 0.382, 'sadness': 0.0, 'anger': 0.319, 'surprise': 0.329, 'fear': 0.0, 'disgust': 0.0}
[epoch 006] loss=0.7124 val_weighted_f1=0.4339 val_macro_f1=0.2425 time=10.1s per_class_f1={'neutral': 0.692, 'joy': 0.355, 'sadness': 0.0, 'anger': 0.241, 'surprise': 0.41, 'fear': 0.0, 'disgust': 0.0}
[epoch 007] loss=0.6939 val_weighted_f1=0.4210 val_macro_f1=0.2341 time=10.3s per_class_f1={'neutral': 0.678, 'joy': 0.293, 'sadness': 0.0, 'anger': 0.232, 'surprise': 0.436, 'fear': 0.0, 'disgust': 0.0}
[epoch 008] loss=0.6928 val_weighted_f1=0.4377 val_macro_f1=0.2484 time=10.3s per_class_f1={'neutral': 0.685, 'joy': 0.364, 'sadness': 0.0, 'anger': 0.317, 'surprise': 0.373, 'fear': 0.0, 'disgust': 0.0}
[epoch 009] loss=0.6846 val_weighted_f1=0.4376 val_macro_f1=0.2468 time=10.3s per_class_f1={'neutral': 0.69, 'joy': 0.382, 'sadness': 0.0, 'anger': 0.231, 'surprise': 0.425, 'fear': 0.0, 'disgust': 0.0}
[epoch 010] loss=0.6727 val_weighted_f1=0.4278 val_macro_f1=0.2411 time=10.2s per_class_f1={'neutral': 0.675, 'joy': 0.368, 'sadness': 0.0, 'anger': 0.216, 'surprise': 0.429, 'fear': 0.0, 'disgust': 0.0}
