[run] base_fusion_R_k0_seed42 k=0 flags={'relational': False, 'shift': False, 'temporal': False, 'residual': True} text_cache_subdir=text_ctx_k0
[epoch 024] loss=0.7486 val_weighted_f1=0.6055 val_macro_f1=0.4527 time=7.6s per_class_f1={'neutral': 0.777, 'joy': 0.571, 'sadness': 0.38, 'anger': 0.445, 'surprise': 0.617, 'fear': 0.12, 'disgust': 0.258}
[epoch 025] loss=0.7309 val_weighted_f1=0.5908 val_macro_f1=0.4332 time=7.6s per_class_f1={'neutral': 0.765, 'joy': 0.574, 'sadness': 0.327, 'anger': 0.422, 'surprise': 0.613, 'fear': 0.125, 'disgust': 0.207}
[epoch 026] loss=0.7211 val_weighted_f1=0.5978 val_macro_f1=0.4452 time=7.7s per_class_f1={'neutral': 0.77, 'joy': 0.568, 'sadness': 0.331, 'anger': 0.445, 'surprise': 0.622, 'fear': 0.122, 'disgust': 0.258}
[epoch 027] loss=0.7122 val_weighted_f1=0.5912 val_macro_f1=0.4409 time=7.7s per_class_f1={'neutral': 0.765, 'joy': 0.577, 'sadness': 0.327, 'anger': 0.411, 'surprise': 0.614, 'fear': 0.125, 'disgust': 0.267}
[epoch 028] loss=0.7026 val_weighted_f1=0.5917 val_macro_f1=0.4417 time=8.0s per_class_f1={'neutral': 0.764, 'joy': 0.557, 'sadness': 0.331, 'anger': 0.434, 'surprise': 0.62, 'fear': 0.12, 'disgust': 0.267}
[epoch 029] loss=0.6900 val_weighted_f1=0.5908 val_macro_f1=0.4335 time=7.7s per_class_f1={'neutral': 0.765, 'joy': 0.567, 'sadness': 0.339, 'anger': 0.44, 'surprise': 0.594, 'fear': 0.122, 'disgust': 0.207}
[epoch 030] loss=0.6790 val_weighted_f1=0.5945 val_macro_f1=0.4457 time=7.7s per_class_f1={'neutral': 0.765, 'joy': 0.553, 'sadness': 0.352, 'anger': 0.44, 'surprise': 0.618, 'fear': 0.125, 'disgust': 0.267}
[epoch 031] loss=0.6748 val_weighted_f1=0.5996 val_macro_f1=0.4543 time=7.7s per_class_f1={'neutral': 0.761, 'joy': 0.551, 'sadness': 0.375, 'anger': 0.444, 'surprise': 0.645, 'fear': 0.128, 'disgust': 0.276}
[epoch 032] loss=0.6594 val_weighted_f1=0.5884 val_macro_f1=0.4268 time=7.6s per_class_f1={'neutral': 0.767, 'joy': 0.552, 'sadness': 0.345, 'anger': 0.411, 'surprise': 0.62, 'fear': 0.085, 'disgust': 0.207}
[epoch 033] loss=0.6501 val_weighted_f1=0.5919 val_macro_f1=0.4426 time=7.6s per_class_f1={'neutral': 0.763, 'joy': 0.557, 'sadness': 0.345, 'anger': 0.438, 'surprise': 0.609, 'fear': 0.12, 'disgust': 0.267}
[epoch 034] loss=0.6386 val_weighted_f1=0.5899 val_macro_f1=0.4286 time=7.7s per_class_f1={'neutral': 0.764, 'joy': 0.548, 'sadness': 0.343, 'anger': 0.423, 'surprise': 0.637, 'fear': 0.085, 'disgust': 0.2}
[epoch 035] loss=0.6355 val_weighted_f1=0.5936 val_macro_f1=0.4454 time=7.6s per_class_f1={'neutral': 0.762, 'joy': 0.56, 'sadness': 0.358, 'anger': 0.425, 'surprise': 0.625, 'fear': 0.122, 'disgust': 0.267}
[epoch 036] loss=0.6193 val_weighted_f1=0.5841 val_macro_f1=0.4310 time=7.7s per_class_f1={'neutral': 0.752, 'joy': 0.54, 'sadness': 0.331, 'anger': 0.441, 'surprise': 0.619, 'fear': 0.128, 'disgust': 0.207}
[epoch 037] loss=0.6145 val_weighted_f1=0.6000 val_macro_f1=0.4522 time=7.6s per_class_f1={'neutral': 0.761, 'joy': 0.559, 'sadness': 0.38, 'anger': 0.448, 'surprise': 0.637, 'fear': 0.122, 'disgust': 0.258}
[epoch 038] loss=0.6026 val_weighted_f1=0.5895 val_macro_f1=0.4428 time=7.6s per_class_f1={'neutral': 0.76, 'joy': 0.54, 'sadness': 0.371, 'anger': 0.419, 'surprise': 0.618, 'fear': 0.125, 'disgust': 0.267}
[epoch 039] loss=0.5923 val_weighted_f1=0.5901 val_macro_f1=0.4412 time=7.7s per_class_f1={'neutral': 0.762, 'joy': 0.551, 'sadness': 0.355, 'anger': 0.413, 'surprise': 0.626, 'fear': 0.115, 'disgust': 0.267}
[epoch 040] loss=0.5832 val_weighted_f1=0.5811 val_macro_f1=0.4300 time=7.6s per_class_f1={'neutral': 0.749, 'joy': 0.537, 'sadness': 0.318, 'anger': 0.425, 'surprise': 0.629, 'fear': 0.16, 'disgust': 0.194}
[epoch 041] loss=0.5757 val_weighted_f1=0.5826 val_macro_f1=0.4346 time=7.6s per_class_f1={'neutral': 0.752, 'joy': 0.542, 'sadness': 0.329, 'anger': 0.428, 'surprise': 0.613, 'fear': 0.12, 'disgust': 0.258}
[trainer] early stopping at epoch 41 (patience=10)
[run-done] base_fusion_R_k0_seed42 wall_clock_sec=357.6
[status] base_fusion_R_k0_seed42 test_weighted_f1=0.6276 test_macro_f1=0.4459 all_7_nonzero=True
[run] base_fusion_R_k0_seed1337 k=0 flags={'relational': False, 'shift': False, 'temporal': False, 'residual': True} text_cache_subdir=text_ctx_k0
[epoch 000] loss=0.8970 val_weighted_f1=0.5850 val_macro_f1=0.4197 time=7.6s per_class_f1={'neutral': 0.77, 'joy': 0.564, 'sadness': 0.333, 'anger': 0.37, 'surprise': 0.629, 'fear': 0.085, 'disgust': 0.188}
[epoch 001] loss=0.8953 val_weighted_f1=0.5840 val_macro_f1=0.4191 time=7.7s per_class_f1={'neutral': 0.768, 'joy': 0.561, 'sadness': 0.333, 'anger': 0.37, 'surprise': 0.629, 'fear': 0.085, 'disgust': 0.188}
[epoch 002] loss=0.8938 val_weighted_f1=0.5846 val_macro_f1=0.4199 time=7.7s per_class_f1={'neutral': 0.769, 'joy': 0.559, 'sadness': 0.343, 'anger': 0.367, 'surprise': 0.629, 'fear': 0.085, 'disgust': 0.188}
[epoch 003] loss=0.8953 val_weighted_f1=0.5853 val_macro_f1=0.4203 time=7.6s per_class_f1={'neutral': 0.769, 'joy': 0.558, 'sadness': 0.343, 'anger': 0.373, 'surprise': 0.629, 'fear': 0.083, 'disgust': 0.188}
[epoch 004] loss=0.8916 val_weighted_f1=0.5797 val_macro_f1=0.4149 time=7.9s per_class_f1={'neutral': 0.763, 'joy': 0.552, 'sadness': 0.327, 'anger': 0.369, 'surprise': 0.629, 'fear': 0.082, 'disgust': 0.182}
[epoch 005] loss=0.8901 val_weighted_f1=0.5767 val_macro_f1=0.4094 time=7.6s per_class_f1={'neutral': 0.771, 'joy': 0.538, 'sadness': 0.317, 'anger': 0.36, 'surprise': 0.614, 'fear': 0.083, 'disgust': 0.182}
[epoch 006] loss=0.8832 val_weighted_f1=0.5779 val_macro_f1=0.4097 time=7.6s per_class_f1={'neutral': 0.771, 'joy': 0.55, 'sadness': 0.294, 'anger': 0.362, 'surprise': 0.626, 'fear': 0.083, 'disgust': 0.182}
[epoch 007] loss=0.8793 val_weighted_f1=0.5796 val_macro_f1=0.4228 time=7.6s per_class_f1={'neutral': 0.767, 'joy': 0.553, 'sadness': 0.294, 'anger': 0.368, 'surprise': 0.622, 'fear': 0.12, 'disgust': 0.235}
[epoch 008] loss=0.8757 val_weighted_f1=0.5805 val_macro_f1=0.4241 time=7.6s per_class_f1={'neutral': 0.767, 'joy': 0.557, 'sadness': 0.301, 'anger': 0.367, 'surprise': 0.621, 'fear': 0.12, 'disgust': 0.235}
