[2026-07-03 09:32:29,527][__main__][INFO] - run_name=speaker_only_seed42
[2026-07-03 09:32:29,528][__main__][INFO] - experiment.relational=False experiment.shift=False experiment.temporal=False experiment.lora=False
[epoch 000] loss=0.9168 val_weighted_f1=0.2518 val_macro_f1=0.0850 time=8.5s per_class_f1={'neutral': 0.595, 'joy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.0, 'fear': 0.0, 'disgust': 0.0}
[epoch 001] loss=0.8356 val_weighted_f1=0.2518 val_macro_f1=0.0850 time=8.1s per_class_f1={'neutral': 0.595, 'joy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.0, 'fear': 0.0, 'disgust': 0.0}
[epoch 002] loss=0.8018 val_weighted_f1=0.2857 val_macro_f1=0.1151 time=7.9s per_class_f1={'neutral': 0.61, 'joy': 0.074, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.121, 'fear': 0.0, 'disgust': 0.0}
[epoch 003] loss=0.7760 val_weighted_f1=0.3646 val_macro_f1=0.1796 time=8.3s per_class_f1={'neutral': 0.661, 'joy': 0.342, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.254, 'fear': 0.0, 'disgust': 0.0}
[epoch 004] loss=0.7444 val_weighted_f1=0.4014 val_macro_f1=0.2170 time=8.4s per_class_f1={'neutral': 0.665, 'joy': 0.33, 'sadness': 0.0, 'anger': 0.167, 'surprise': 0.357, 'fear': 0.0, 'disgust': 0.0}
[epoch 005] loss=0.7248 val_weighted_f1=0.4113 val_macro_f1=0.2267 time=8.4s per_class_f1={'neutral': 0.667, 'joy': 0.339, 'sadness': 0.0, 'anger': 0.208, 'surprise': 0.373, 'fear': 0.0, 'disgust': 0.0}
[epoch 006] loss=0.7060 val_weighted_f1=0.4130 val_macro_f1=0.2282 time=8.4s per_class_f1={'neutral': 0.667, 'joy': 0.361, 'sadness': 0.0, 'anger': 0.206, 'surprise': 0.364, 'fear': 0.0, 'disgust': 0.0}
[epoch 007] loss=0.6961 val_weighted_f1=0.4225 val_macro_f1=0.2302 time=8.2s per_class_f1={'neutral': 0.693, 'joy': 0.371, 'sadness': 0.0, 'anger': 0.171, 'surprise': 0.376, 'fear': 0.0, 'disgust': 0.0}
[epoch 008] loss=0.6833 val_weighted_f1=0.4597 val_macro_f1=0.2669 time=7.8s per_class_f1={'neutral': 0.7, 'joy': 0.38, 'sadness': 0.0, 'anger': 0.337, 'surprise': 0.451, 'fear': 0.0, 'disgust': 0.0}
[epoch 009] loss=0.6770 val_weighted_f1=0.4545 val_macro_f1=0.2612 time=7.8s per_class_f1={'neutral': 0.7, 'joy': 0.394, 'sadness': 0.0, 'anger': 0.314, 'surprise': 0.42, 'fear': 0.0, 'disgust': 0.0}
[epoch 010] loss=0.6617 val_weighted_f1=0.4299 val_macro_f1=0.2416 time=7.9s per_class_f1={'neutral': 0.68, 'joy': 0.375, 'sadness': 0.0, 'anger': 0.293, 'surprise': 0.343, 'fear': 0.0, 'disgust': 0.0}
[epoch 011] loss=0.6576 val_weighted_f1=0.4577 val_macro_f1=0.2635 time=8.0s per_class_f1={'neutral': 0.707, 'joy': 0.407, 'sadness': 0.035, 'anger': 0.335, 'surprise': 0.361, 'fear': 0.0, 'disgust': 0.0}
[epoch 012] loss=0.6491 val_weighted_f1=0.4492 val_macro_f1=0.2550 time=7.8s per_class_f1={'neutral': 0.701, 'joy': 0.437, 'sadness': 0.0, 'anger': 0.236, 'surprise': 0.411, 'fear': 0.0, 'disgust': 0.0}
[epoch 013] loss=0.6452 val_weighted_f1=0.4580 val_macro_f1=0.2638 time=7.8s per_class_f1={'neutral': 0.704, 'joy': 0.417, 'sadness': 0.018, 'anger': 0.371, 'surprise': 0.337, 'fear': 0.0, 'disgust': 0.0}
[epoch 014] loss=0.6359 val_weighted_f1=0.4663 val_macro_f1=0.2749 time=7.8s per_class_f1={'neutral': 0.695, 'joy': 0.397, 'sadness': 0.0, 'anger': 0.341, 'surprise': 0.491, 'fear': 0.0, 'disgust': 0.0}
[epoch 015] loss=0.6365 val_weighted_f1=0.4606 val_macro_f1=0.2686 time=7.9s per_class_f1={'neutral': 0.697, 'joy': 0.402, 'sadness': 0.0, 'anger': 0.31, 'surprise': 0.471, 'fear': 0.0, 'disgust': 0.0}
[epoch 016] loss=0.6299 val_weighted_f1=0.4693 val_macro_f1=0.2804 time=7.9s per_class_f1={'neutral': 0.7, 'joy': 0.399, 'sadness': 0.096, 'anger': 0.292, 'surprise': 0.476, 'fear': 0.0, 'disgust': 0.0}
[epoch 017] loss=0.6227 val_weighted_f1=0.4588 val_macro_f1=0.2688 time=7.8s per_class_f1={'neutral': 0.701, 'joy': 0.41, 'sadness': 0.094, 'anger': 0.277, 'surprise': 0.4, 'fear': 0.0, 'disgust': 0.0}
[epoch 018] loss=0.6180 val_weighted_f1=0.4712 val_macro_f1=0.2858 time=7.8s per_class_f1={'neutral': 0.695, 'joy': 0.417, 'sadness': 0.155, 'anger': 0.262, 'surprise': 0.471, 'fear': 0.0, 'disgust': 0.0}
[epoch 019] loss=0.6193 val_weighted_f1=0.4927 val_macro_f1=0.3051 time=7.8s per_class_f1={'neutral': 0.703, 'joy': 0.41, 'sadness': 0.131, 'anger': 0.373, 'surprise': 0.519, 'fear': 0.0, 'disgust': 0.0}
[epoch 020] loss=0.6083 val_weighted_f1=0.4731 val_macro_f1=0.2847 time=7.8s per_class_f1={'neutral': 0.699, 'joy': 0.39, 'sadness': 0.098, 'anger': 0.383, 'surprise': 0.424, 'fear': 0.0, 'disgust': 0.0}
