[2026-07-03 10:42:52,829][__main__][INFO] - run_name=speaker_only_seed1337
[2026-07-03 10:42:52,829][__main__][INFO] - experiment.relational=False experiment.shift=False experiment.temporal=False experiment.lora=False
[epoch 000] loss=0.7241 val_weighted_f1=0.2539 val_macro_f1=0.0868 time=11.9s per_class_f1={'neutral': 0.596, 'joy': 0.012, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.0, 'fear': 0.0, 'disgust': 0.0}
[epoch 001] loss=0.6949 val_weighted_f1=0.3553 val_macro_f1=0.1808 time=11.6s per_class_f1={'neutral': 0.632, 'joy': 0.134, 'sadness': 0.0, 'anger': 0.17, 'surprise': 0.33, 'fear': 0.0, 'disgust': 0.0}
[epoch 002] loss=0.6708 val_weighted_f1=0.3601 val_macro_f1=0.1795 time=11.5s per_class_f1={'neutral': 0.65, 'joy': 0.229, 'sadness': 0.0, 'anger': 0.061, 'surprise': 0.316, 'fear': 0.0, 'disgust': 0.0}
[epoch 003] loss=0.6473 val_weighted_f1=0.4110 val_macro_f1=0.2267 time=11.5s per_class_f1={'neutral': 0.667, 'joy': 0.288, 'sadness': 0.0, 'anger': 0.263, 'surprise': 0.368, 'fear': 0.0, 'disgust': 0.0}
[epoch 004] loss=0.6280 val_weighted_f1=0.4315 val_macro_f1=0.2429 time=11.0s per_class_f1={'neutral': 0.682, 'joy': 0.355, 'sadness': 0.0, 'anger': 0.249, 'surprise': 0.414, 'fear': 0.0, 'disgust': 0.0}
[epoch 005] loss=0.6152 val_weighted_f1=0.4407 val_macro_f1=0.2538 time=11.0s per_class_f1={'neutral': 0.678, 'joy': 0.335, 'sadness': 0.0, 'anger': 0.337, 'surprise': 0.426, 'fear': 0.0, 'disgust': 0.0}
[epoch 006] loss=0.5995 val_weighted_f1=0.4543 val_macro_f1=0.2700 time=11.3s per_class_f1={'neutral': 0.672, 'joy': 0.383, 'sadness': 0.018, 'anger': 0.407, 'surprise': 0.41, 'fear': 0.0, 'disgust': 0.0}
[epoch 007] loss=0.5865 val_weighted_f1=0.4543 val_macro_f1=0.2679 time=11.4s per_class_f1={'neutral': 0.681, 'joy': 0.353, 'sadness': 0.018, 'anger': 0.343, 'surprise': 0.481, 'fear': 0.0, 'disgust': 0.0}
[epoch 008] loss=0.5816 val_weighted_f1=0.4656 val_macro_f1=0.2762 time=11.3s per_class_f1={'neutral': 0.693, 'joy': 0.378, 'sadness': 0.034, 'anger': 0.394, 'surprise': 0.433, 'fear': 0.0, 'disgust': 0.0}
[epoch 009] loss=0.5695 val_weighted_f1=0.4788 val_macro_f1=0.2997 time=11.7s per_class_f1={'neutral': 0.684, 'joy': 0.324, 'sadness': 0.203, 'anger': 0.439, 'surprise': 0.446, 'fear': 0.0, 'disgust': 0.0}
[epoch 010] loss=0.5680 val_weighted_f1=0.4747 val_macro_f1=0.2926 time=11.5s per_class_f1={'neutral': 0.688, 'joy': 0.384, 'sadness': 0.174, 'anger': 0.384, 'surprise': 0.419, 'fear': 0.0, 'disgust': 0.0}
[epoch 011] loss=0.5587 val_weighted_f1=0.4685 val_macro_f1=0.2904 time=11.6s per_class_f1={'neutral': 0.676, 'joy': 0.384, 'sadness': 0.066, 'anger': 0.373, 'surprise': 0.488, 'fear': 0.045, 'disgust': 0.0}
[epoch 012] loss=0.5508 val_weighted_f1=0.4719 val_macro_f1=0.2917 time=11.6s per_class_f1={'neutral': 0.699, 'joy': 0.383, 'sadness': 0.092, 'anger': 0.355, 'surprise': 0.432, 'fear': 0.082, 'disgust': 0.0}
[epoch 013] loss=0.5462 val_weighted_f1=0.4931 val_macro_f1=0.3191 time=11.5s per_class_f1={'neutral': 0.688, 'joy': 0.376, 'sadness': 0.241, 'anger': 0.421, 'surprise': 0.464, 'fear': 0.044, 'disgust': 0.0}
