[2026-07-03 10:29:27,268][__main__][INFO] - run_name=speaker_only_seed42_tau050
[2026-07-03 10:29:27,268][__main__][INFO] - experiment.relational=False experiment.shift=False experiment.temporal=False experiment.lora=False
[epoch 024] loss=0.4901 val_weighted_f1=0.5092 val_macro_f1=0.3425 time=9.8s per_class_f1={'neutral': 0.705, 'joy': 0.4, 'sadness': 0.246, 'anger': 0.395, 'surprise': 0.495, 'fear': 0.157, 'disgust': 0.0}
[epoch 025] loss=0.4823 val_weighted_f1=0.4830 val_macro_f1=0.3291 time=10.4s per_class_f1={'neutral': 0.659, 'joy': 0.417, 'sadness': 0.163, 'anger': 0.375, 'surprise': 0.507, 'fear': 0.14, 'disgust': 0.042}
[epoch 026] loss=0.4785 val_weighted_f1=0.5186 val_macro_f1=0.3648 time=10.4s per_class_f1={'neutral': 0.7, 'joy': 0.406, 'sadness': 0.322, 'anger': 0.399, 'surprise': 0.503, 'fear': 0.157, 'disgust': 0.067}
[epoch 027] loss=0.4742 val_weighted_f1=0.4983 val_macro_f1=0.3320 time=10.3s per_class_f1={'neutral': 0.703, 'joy': 0.409, 'sadness': 0.217, 'anger': 0.342, 'surprise': 0.484, 'fear': 0.169, 'disgust': 0.0}
[epoch 028] loss=0.4718 val_weighted_f1=0.5080 val_macro_f1=0.3458 time=10.2s per_class_f1={'neutral': 0.701, 'joy': 0.397, 'sadness': 0.212, 'anger': 0.413, 'surprise': 0.508, 'fear': 0.131, 'disgust': 0.059}
[epoch 029] loss=0.4674 val_weighted_f1=0.4868 val_macro_f1=0.3503 time=10.2s per_class_f1={'neutral': 0.641, 'joy': 0.397, 'sadness': 0.294, 'anger': 0.41, 'surprise': 0.467, 'fear': 0.194, 'disgust': 0.05}
[epoch 030] loss=0.4651 val_weighted_f1=0.5116 val_macro_f1=0.3546 time=10.0s per_class_f1={'neutral': 0.694, 'joy': 0.397, 'sadness': 0.283, 'anger': 0.419, 'surprise': 0.493, 'fear': 0.143, 'disgust': 0.053}
[epoch 031] loss=0.4585 val_weighted_f1=0.5087 val_macro_f1=0.3622 time=10.2s per_class_f1={'neutral': 0.697, 'joy': 0.436, 'sadness': 0.298, 'anger': 0.311, 'surprise': 0.505, 'fear': 0.167, 'disgust': 0.121}
[epoch 032] loss=0.4581 val_weighted_f1=0.5153 val_macro_f1=0.3537 time=10.3s per_class_f1={'neutral': 0.704, 'joy': 0.426, 'sadness': 0.278, 'anger': 0.397, 'surprise': 0.488, 'fear': 0.125, 'disgust': 0.057}
[epoch 033] loss=0.4512 val_weighted_f1=0.4960 val_macro_f1=0.3496 time=10.2s per_class_f1={'neutral': 0.66, 'joy': 0.386, 'sadness': 0.253, 'anger': 0.448, 'surprise': 0.481, 'fear': 0.185, 'disgust': 0.033}
[epoch 034] loss=0.4486 val_weighted_f1=0.5022 val_macro_f1=0.3485 time=10.2s per_class_f1={'neutral': 0.677, 'joy': 0.421, 'sadness': 0.255, 'anger': 0.409, 'surprise': 0.48, 'fear': 0.161, 'disgust': 0.036}
[epoch 035] loss=0.4451 val_weighted_f1=0.5058 val_macro_f1=0.3455 time=10.1s per_class_f1={'neutral': 0.704, 'joy': 0.42, 'sadness': 0.263, 'anger': 0.353, 'surprise': 0.468, 'fear': 0.211, 'disgust': 0.0}
[epoch 036] loss=0.4435 val_weighted_f1=0.5079 val_macro_f1=0.3473 time=9.8s per_class_f1={'neutral': 0.696, 'joy': 0.419, 'sadness': 0.262, 'anger': 0.398, 'surprise': 0.475, 'fear': 0.14, 'disgust': 0.039}
[trainer] early stopping at epoch 36 (patience=10)
[2026-07-03 10:36:20,707][__main__][INFO] - test_weighted_f1=0.5404 test_macro_f1=0.3511 test_accuracy=0.5517 best_epoch=26 avg_epoch_time_sec=10.28
