[2026-07-03 10:42:52,908][__main__][INFO] - run_name=speaker_only_seed2024
[2026-07-03 10:42:52,908][__main__][INFO] - experiment.relational=False experiment.shift=False experiment.temporal=False experiment.lora=False
[epoch 024] loss=0.4888 val_weighted_f1=0.5078 val_macro_f1=0.3372 time=11.4s per_class_f1={'neutral': 0.706, 'joy': 0.425, 'sadness': 0.25, 'anger': 0.36, 'surprise': 0.507, 'fear': 0.043, 'disgust': 0.069}
[epoch 025] loss=0.4872 val_weighted_f1=0.4917 val_macro_f1=0.3398 time=11.4s per_class_f1={'neutral': 0.679, 'joy': 0.404, 'sadness': 0.185, 'anger': 0.354, 'surprise': 0.514, 'fear': 0.182, 'disgust': 0.061}
[epoch 026] loss=0.4847 val_weighted_f1=0.5046 val_macro_f1=0.3249 time=11.6s per_class_f1={'neutral': 0.707, 'joy': 0.436, 'sadness': 0.132, 'anger': 0.4, 'surprise': 0.515, 'fear': 0.083, 'disgust': 0.0}
[epoch 027] loss=0.4799 val_weighted_f1=0.5059 val_macro_f1=0.3532 time=11.5s per_class_f1={'neutral': 0.678, 'joy': 0.429, 'sadness': 0.22, 'anger': 0.407, 'surprise': 0.517, 'fear': 0.188, 'disgust': 0.033}
[epoch 028] loss=0.4749 val_weighted_f1=0.4964 val_macro_f1=0.3606 time=11.5s per_class_f1={'neutral': 0.654, 'joy': 0.362, 'sadness': 0.315, 'anger': 0.433, 'surprise': 0.491, 'fear': 0.207, 'disgust': 0.062}
[epoch 029] loss=0.4729 val_weighted_f1=0.5121 val_macro_f1=0.3671 time=11.4s per_class_f1={'neutral': 0.677, 'joy': 0.437, 'sadness': 0.318, 'anger': 0.397, 'surprise': 0.49, 'fear': 0.189, 'disgust': 0.061}
[epoch 030] loss=0.4699 val_weighted_f1=0.4977 val_macro_f1=0.3409 time=10.3s per_class_f1={'neutral': 0.662, 'joy': 0.417, 'sadness': 0.22, 'anger': 0.432, 'surprise': 0.51, 'fear': 0.145, 'disgust': 0.0}
[epoch 031] loss=0.4630 val_weighted_f1=0.4935 val_macro_f1=0.3303 time=10.3s per_class_f1={'neutral': 0.686, 'joy': 0.418, 'sadness': 0.136, 'anger': 0.38, 'surprise': 0.51, 'fear': 0.182, 'disgust': 0.0}
[epoch 032] loss=0.4646 val_weighted_f1=0.5017 val_macro_f1=0.3468 time=10.4s per_class_f1={'neutral': 0.687, 'joy': 0.375, 'sadness': 0.21, 'anger': 0.434, 'surprise': 0.495, 'fear': 0.189, 'disgust': 0.038}
[epoch 033] loss=0.4579 val_weighted_f1=0.5012 val_macro_f1=0.3476 time=10.3s per_class_f1={'neutral': 0.686, 'joy': 0.39, 'sadness': 0.223, 'anger': 0.449, 'surprise': 0.451, 'fear': 0.194, 'disgust': 0.039}
[trainer] early stopping at epoch 33 (patience=10)
[2026-07-03 10:50:01,712][__main__][INFO] - test_weighted_f1=0.5324 test_macro_f1=0.3264 test_accuracy=0.5617 best_epoch=23 avg_epoch_time_sec=11.50
