[epoch 024] loss=1.3920 val_weighted_f1=0.3614 val_macro_f1=0.1836 time=1.5s per_class_f1={'neutral': 0.639, 'joy': 0.294, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.353, 'fear': 0.0, 'disgust': 0.0}
[epoch 025] loss=1.3903 val_weighted_f1=0.3595 val_macro_f1=0.1819 time=1.5s per_class_f1={'neutral': 0.638, 'joy': 0.286, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.35, 'fear': 0.0, 'disgust': 0.0}
[epoch 026] loss=1.3889 val_weighted_f1=0.3620 val_macro_f1=0.1841 time=1.5s per_class_f1={'neutral': 0.64, 'joy': 0.291, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.357, 'fear': 0.0, 'disgust': 0.0}
[epoch 027] loss=1.3871 val_weighted_f1=0.3608 val_macro_f1=0.1831 time=1.5s per_class_f1={'neutral': 0.639, 'joy': 0.286, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.357, 'fear': 0.0, 'disgust': 0.0}
[epoch 028] loss=1.3860 val_weighted_f1=0.3620 val_macro_f1=0.1841 time=1.5s per_class_f1={'neutral': 0.64, 'joy': 0.291, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.357, 'fear': 0.0, 'disgust': 0.0}
[epoch 029] loss=1.3779 val_weighted_f1=0.3667 val_macro_f1=0.1878 time=1.5s per_class_f1={'neutral': 0.643, 'joy': 0.314, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.357, 'fear': 0.0, 'disgust': 0.0}
[epoch 030] loss=1.3804 val_weighted_f1=0.3673 val_macro_f1=0.1884 time=1.5s per_class_f1={'neutral': 0.643, 'joy': 0.317, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.359, 'fear': 0.0, 'disgust': 0.0}
[epoch 031] loss=1.3781 val_weighted_f1=0.3713 val_macro_f1=0.1915 time=1.5s per_class_f1={'neutral': 0.646, 'joy': 0.331, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.364, 'fear': 0.0, 'disgust': 0.0}
[epoch 032] loss=1.3732 val_weighted_f1=0.3697 val_macro_f1=0.1903 time=1.5s per_class_f1={'neutral': 0.645, 'joy': 0.322, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.365, 'fear': 0.0, 'disgust': 0.0}
[epoch 033] loss=1.3743 val_weighted_f1=0.3632 val_macro_f1=0.1850 time=1.5s per_class_f1={'neutral': 0.641, 'joy': 0.297, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.357, 'fear': 0.0, 'disgust': 0.0}
